"5","C","8","20","101097","42","サ　メチシリン耐性黄色ブドウ球菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101098","34","シ　ＲＳウイルス感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101099","43","ス　カルバペネム耐性腸内細菌目細菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101100","52","セ　感染性胃腸炎（病原体がノロウイルスであるものに限る。）（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101101","65","ソ　急性弛緩性麻痺（急性灰白髄炎を除く。病原体がエンテロウイルスによるものに限る。）（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101102","37","タ　新型コロナウイルス感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101103","35","チ　侵襲性髄膜炎菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101104","27","ツ　水痘（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101105","34","テ　先天性風しん症候群（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101106","44","ト　バンコマイシン耐性黄色ブドウ球菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101107","40","ナ　バンコマイシン耐性腸球菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101108","28","ニ　百日咳（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101109","28","ヌ　風しん（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101110","39","ネ　ペニシリン耐性肺炎球菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101111","56","ノ　無菌性髄膜炎（病原体がパルボウイルスＢ１９によるものに限る。）（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101112","40","ハ　薬剤耐性アシネトバクター感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101113","35","ヒ　薬剤耐性緑膿菌感染症（個室加算（特定感染症患者療養環境特別加算））","","","","","","","","","","","","","","20240601","","","","","","","","",""
