"5","S","111703370","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","113032310","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","113034810","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","113034910","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","114061510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","114738910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","114739010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","S","114739110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","S","114743310","32","ç›à„ëçä«Åiç›éxêfìôà»äOÅEìÔïaìôåéÇQâÒÅ`ÇPÇOÅ`ÇPÇXêlÅEíçÇWíçÇPÇSÅj","8","ªﬁ≤≤ø≥∂›","0","0","","3","857.00","2","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99999999","0","0.00","0","1","0","0","0","0","00","00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","1","1","0","3","721","0","0","0","0","0","4101","0","0","0","0","0","0","C","","20240601","99999999","29280500","2","02","002","00","14","0","00","000","00","00","00","00","0","00","00","0","00","00","0","00","00","0","0","ç›ëÓéûà„äwëççáä«óùóøÅiÇPãyÇ—ÇQÇ…åfÇ∞ÇÈÇ‡ÇÃà»äOÇÃèÍçáÅjÅiï Ç…íËÇﬂÇÈèÛë‘ÅEåéÇQâÒà»è„ÅEÇPÇOêlÅ`ÇPÇXêlÅjÅiíçÇWÅjÅiíçÇPÇSÅj","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"3","S","114743410","32","ç›à„ëçä«Åiç›éxêfìôà»äOÅEìÔïaìôåéÇQâÒÅ`ÇQÇOÅ`ÇSÇXêlÅEíçÇWíçÇPÇSÅj","8","ªﬁ≤≤ø≥∂›","0","0","","3","720.00","2","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99999999","0","0.00","0","1","0","0","0","0","00","00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","1","1","0","3","721","0","0","0","0","0","4101","0","0","0","0","0","0","C","","20240601","99999999","29290500","2","02","002","00","14","0","00","000","00","00","00","00","0","00","00","0","00","00","0","00","00","0","0","ç›ëÓéûà„äwëççáä«óùóøÅiÇPãyÇ—ÇQÇ…åfÇ∞ÇÈÇ‡ÇÃà»äOÇÃèÍçáÅjÅiï Ç…íËÇﬂÇÈèÛë‘ÅEåéÇQâÒà»è„ÅEÇQÇOêlÅ`ÇSÇXêlÅjÅiíçÇWÅjÅiíçÇPÇSÅj","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
