"5","C","8","20","293","","","20","91ｼﾝﾀｲﾃｷｺｳｿｸｦｼﾞｯｼｼﾃｲ","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","101306","","","20","ｶﾞｸｾﾂｼﾞｮﾄｳﾉｼｭｼﾞｭﾂｼﾞｯ","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","20","500001","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","20","500002","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","30","500001","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","30","500002","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","30","500003","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","190244","43","周術期等口腔機能管理計画策定料算定年月日（周術期等口腔機能管理料（３）　長期管理加算）","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","50","190245","36","周術期等口腔機能管理計画策定料算定年月日（周術期等口腔機能管理料（４））","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","50","190246","43","周術期等口腔機能管理計画策定料算定年月日（周術期等口腔機能管理料（４）　長期管理加算）","","","","","","","","","","","","","","20240601","","","","","","","","",""
"5","C","8","50","500001","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500002","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500003","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500004","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500005","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500006","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500007","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500010","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500011","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500012","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500013","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500014","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500015","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500016","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500017","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500018","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","50","500019","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
"5","C","8","52","500001","","","","","","","","","","","","","","","1","20240601","","","","","","","","",""
